category_name,rental_year,total_revenue
Action,2005,3896.04
Action,2006,55.80
Animation,2005,4178.56
Animation,2006,66.75
Children,2005,3293.45
Children,2006,15.94
Classics,2005,3328.49
Classics,2006,24.89
Comedy,2005,3976.58
Comedy,2006,25.90
Documentary,2005,3741.69
Documentary,2006,7.96
Drama,2005,4088.54
Drama,2006,29.92
Family,2005,3800.25
Family,2006,29.90
Foreign,2005,3909.58
Foreign,2006,24.89
Games,2005,3882.30
Games,2006,39.88
Horror,2005,3367.39
Horror,2006,33.88
Music,2005,3046.61
Music,2006,24.91
New,2005,3935.49
New,2006,30.89
Sci-Fi,2005,4305.10
Sci-Fi,2006,30.91
Sports,2005,4851.34
Sports,2006,40.85
Travel,2005,3196.45
Travel,2006,30.91
